'longitud';'latitud';'tipo_contribuyente';'rif_ci';'razon_social';'direccion';'tipo_inmueble';'tipo_propiedad';'nivel';'npiso';'unidad';'foto_local';         'id_punto'
-62,794546309;8,290521033;"J";"095092097";"TRANSPORTE  CHIRICA C.A";"UD 508 ZONA IND MATANZAS  CARRERA  EL SAMAN  EDIFICIO  SIMPCA   ZONA IND MATANZAS  MANZ  02";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  59";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\05\PZO1030508A~files\img0344276.jpg";263
-62,79454658;8,290526662;"J";"080008723";"TRANSPORTE CHIRICA C.A.";"UD 502 ZONA IND MATANZAS CALLE EL SAMAN  MANZ  02";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  59";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\05\PZO1030508A~files\img0346277.jpg";264
-62,792136913;8,288145104;"J";"296412065";"ASOCIACIÓN  COOPERATIVA CAURA AZUL  R.L";"ZONA IND MATANZAS  CALLE EL SAMAN  EDIFICIO  MULTISERVICIO";"INDUSTRIAL";"HORIZONTAL";"PB";0;"GALPON  4-A PISO 1 OFICINA  03";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\05\PZO1030508A~files\img0348278.jpg";265
-62,78645132;8,288964855;"V";"101944669";"LEAL HERNANDEZ MARIELA";"ZONA IND MATANZAS  CALLE EL  PADILLO CON ARBOLEDA";"COMERCIAL";"HORIZONTAL";"PB";0;"KIOSCO SIN NUMERO";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\06\PZO1030610A~files\img0350279.jpg";266
-62,786639799;8,289147277;"J";"401826423";"SEGURIDAD  INDUSTRIAL  FELMAR C.A";"ZONA IND MATANZAS  CALLE  LA ARBOLEDA MANZ  00";"INDUSTRIAL";"HORIZONTAL";"PB";0;"LOCAL  NUMERO 06";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\06\PZO1030610A~files\img0352280.jpg";267
-62,78721816;8,289091975;"J";"095195562";"INVERSIONES  VALISAEK, C.A";"ZONA IND MATANZAS  CALLE  ARBOLEDA FRENTE H.WELLS";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  26";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\06\PZO1030610A~files\img0354281.jpg";268
-62,787758273;8,289782267;"J";"304327382";"ROLINI CONSTRUCTORS C.A";"ZONA IND MATANZAS  CALLE ARBOLEDA";"INDUSTRIAL";"HORIZONTAL";"PB";0;"MANZ  00- PARCELA  36";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\06\PZO1030610A~files\img0355282.jpg";269
-62,790424968;8,292251583;"J";"000388393";"VENEZOLANA DE CEMENTOS (SUCURSAL ]";"ZONA IND MATANZAS  , CALLE ARBOLEDA  MANZ  00";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  22";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\06\PZO1030610A~files\img0358283.jpg";270
-62,791034109;8,292944527;"J";"309968793";"GERENPRO, C.A";"UD 502-00-20 Y 21, ZONA IND MATANZAS  CRRA ARBOLEDA EDIFICIO  GERENPRO";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  502_00-20 Y502-00-21";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\06\PZO1030610A~files\img0359284.jpg";271
-62,794342396;8,297266993;"J";"095017249";"SOCIEDAD  DE CONSTRUCCIONES  SOMOR C.A";"zONA IND MATANZAS  C/ARBOLEEDA MANZ  00";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  79";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\06\PZO1030610A~files\img0360285.jpg";272
-62,794345467;8,297290754;"J";"095060993";"MAQUIMOR C.A";"ZONA IND MATANZAS C/ARBOLEEDA  MANZ  00";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  79";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\06\PZO1030610A~files\img0361286.jpg";273
-62,794234735;8,297168841;"J";"310307830";"CORPORACION SOMOR MAQUIMOR C.A";"ZONA IND MATANZAS  CALLE ARBOLEDA MANZ  00";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  79";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\06\PZO1030610A~files\img0363287.jpg";274
-62,790896592;8,284561992;"J";"296633029";"PDVSA EMPRESA NACIONAL DE TRANSPORTE  S.A";"ZONA IND MATANZAS  CALLE  EL EMPARME AVENIDA LIBERTADOR  EDIFICIO  PETROLERO";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA 061 HASTA LA 065";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\07\PZO1030709A~files\img0364288.jpg";275
-62,818980805;8,265038633;"J";"000946906";"SURAL C.A";"ZONA IND MATANZAS";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  506-01-05";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\07\PZO1030709A~files\img0366289.jpg";276
-62,81625027;8,262636721;"J";"297567488";"COOPERATIVA ADMINISTRADORA TEPUY VII, R.L.";"ZONA IND MATANZAS PARCELA 01 Y 02";"INDUSTRIAL";"HORIZONTAL";"PB";0;"AVDA NORTE SUR FRENTE";"C:\Users\U11A1-P2\Desktop\CENSO\DATA GPS MOVIL\MARZO\PZO 1\07\PZO1030709A~files\img0367290.jpg";277
